name,class,level,power,price,date
SAMSARAヅ,arbalist,151,402201,1530,2026-06-12
メFate,lancer,140,320369,400,2026-06-12
WeponT3Trad,warrior,151,431897,2250,2026-06-12
Blü£,warrior,118,226070,238,2026-06-12
Me to You,taoist,152,412887,1100,2026-06-12
5897evac7pet,darkist,148,433553,1500,2026-06-12
TaoCorte,taoist,148,431603,1500,2026-06-12
很可爱ヽTuesdày,sorcerer,154,444196,1600,2026-06-12
Frg2TRDmytPT,lancer,153,474314,7000,2026-06-12
Zoltan442,warrior,141,330880,399,2026-06-12
Shiva inu,darkist,105,173643,100,2026-06-12
2ez4Tacos,lancer,100,157074,100,2026-06-12
Nelix,sorcerer,105,184310,100,2026-06-12
Jaziel24,arbalist,144,343301,690,2026-06-12
ツAMETHYST ツ,sorcerer,152,390984,1000,2026-06-12
Cho や aeng,warrior,155,455611,2000,2026-06-12
Raiziiii,darkist,146,336550,500,2026-06-12
メTaylorG,lionheart,146,377184,700,2026-06-12
toptrd800sk,sorcerer,163,561096,13000,2026-06-12
S475 ヅ,arbalist,172,562156,14000,2026-06-12
饼干YAM,arbalist,131,283989,450,2026-06-12
Leanray04,darkist,134,284943,290,2026-06-12
ExecutorWar,warrior,115,211554,190,2026-06-12
Lime1001,lionheart,118,200981,150,2026-06-12
47kGold7Leg,taoist,141,321749,416,2026-06-12
Ⓡⓞⓡⓞⓝⓞⓐ ゾロ,lancer,141,345647,720,2026-06-12
Hiyenna,lancer,132,283475,281,2026-06-12
FW o之,darkist,145,360336,650,2026-06-12
bulsetit,arbalist,137,300234,330,2026-06-12
OldPOld,warrior,138,318667,300,2026-06-12
E1eazar978,darkist,120,214289,150,2026-06-12
Ⓕ・Ⓤ丨Punch,taoist,153,415605,1000,2026-06-12
自己发现吧,arbalist,154,427002,1400,2026-06-12
道士 ・ⓝⓐⓣⓔ・,taoist,150,418111,1000,2026-06-12
铁 玄枪,lancer,155,461011,3499,2026-06-12
20231016,arbalist,131,258835,200,2026-06-12
Aahya ジ,taoist,152,423197,1788,2026-06-12
EternalAdel,sorcerer,135,244354,190,2026-06-12
'Mia',taoist,133,241824,190,2026-06-12
ツ WHITE 毒,lancer,123,247167,230,2026-06-12
Kalampog,warrior,142,355005,430,2026-06-12
Bellah2Gun,sorcerer,154,418281,1079,2026-06-12
ⓃⓘⓒⓔⒼ,warrior,131,252085,200,2026-06-12
Derisdara,darkist,127,271296,280,2026-06-12
ScaTTerⓟⓡⓘⓜⓔ,arbalist,135,257366,200,2026-06-12
快乐'Dodge,lancer,142,348658,460,2026-06-12
BR4S4NINE,darkist,151,398445,930,2026-06-12
Maedú,arbalist,142,338646,620,2026-06-12
Limon5,lionheart,116,210160,180,2026-06-12
5horn4sph,arbalist,114,172386,555,2026-06-12
4lea4sph,darkist,112,168413,555,2026-06-12
4scale4sph,arbalist,118,183510,555,2026-06-12
passwordkey2,arbalist,114,159405,555,2026-06-12
4horn3sph,arbalist,105,150245,350,2026-06-12
3lea3sphe,arbalist,109,174100,350,2026-06-12
5lea4sph,arbalist,98,133344,500,2026-06-12
3sph3sca4st,taoist,124,213295,444,2026-06-12
97CD4Decks,sorcerer,151,401149,940,2026-06-12
5K7Eva620Sk,arbalist,163,471847,3390,2026-06-12
HOSP・NoMoreツ,taoist,151,403035,1750,2026-06-12
SAMSARAヅ,arbalist,151,402201,1530,2026-06-12
メFate,lancer,140,320369,400,2026-06-12
WeponT3Trad,warrior,151,431897,2250,2026-06-12
Blü£,warrior,118,226070,238,2026-06-12
Me to You,taoist,152,412887,1100,2026-06-12
5897evac7pet,darkist,148,433553,1500,2026-06-12
TaoCorte,taoist,148,431603,1500,2026-06-12
很可爱ヽTuesdày,sorcerer,154,444196,1600,2026-06-12
Frg2TRDmytPT,lancer,153,474314,7000,2026-06-12
Zoltan442,warrior,141,330880,399,2026-06-12
Shiva inu,darkist,105,173643,100,2026-06-12
2ez4Tacos,lancer,100,157074,100,2026-06-12
Nelix,sorcerer,105,184310,100,2026-06-12
Jaziel24,arbalist,144,343301,690,2026-06-12
ツAMETHYST ツ,sorcerer,152,390984,1000,2026-06-12
Cho や aeng,warrior,155,455611,2000,2026-06-12
Raiziiii,darkist,146,336550,500,2026-06-12
メTaylorG,lionheart,146,377184,700,2026-06-12
toptrd800sk,sorcerer,163,561096,13000,2026-06-12
S475 ヅ,arbalist,172,562156,14000,2026-06-12
饼干YAM,arbalist,131,283989,450,2026-06-12
Leanray04,darkist,134,284943,290,2026-06-12
ExecutorWar,warrior,115,211554,190,2026-06-12
Lime1001,lionheart,118,200981,150,2026-06-12
47kGold7Leg,taoist,141,321749,416,2026-06-12
Ⓡⓞⓡⓞⓝⓞⓐ ゾロ,lancer,141,345647,720,2026-06-12
Hiyenna,lancer,132,283475,281,2026-06-12
FW o之,darkist,145,360336,650,2026-06-12
bulsetit,arbalist,137,300234,330,2026-06-12
OldPOld,warrior,138,318667,300,2026-06-12
E1eazar978,darkist,120,214289,150,2026-06-12
Ⓕ・Ⓤ丨Punch,taoist,153,415605,1000,2026-06-12
自己发现吧,arbalist,154,427002,1400,2026-06-12
道士 ・ⓝⓐⓣⓔ・,taoist,150,418111,1000,2026-06-12
铁 玄枪,lancer,155,461011,3499,2026-06-12
20231016,arbalist,131,258835,200,2026-06-12
Aahya ジ,taoist,152,423197,1788,2026-06-12
EternalAdel,sorcerer,135,244354,190,2026-06-12
'Mia',taoist,133,241824,190,2026-06-12
ツ WHITE 毒,lancer,123,247167,230,2026-06-12
Kalampog,warrior,142,355005,430,2026-06-12
Bellah2Gun,sorcerer,154,418281,1079,2026-06-12
ⓃⓘⓒⓔⒼ,warrior,131,252085,200,2026-06-12
Derisdara,darkist,127,271296,280,2026-06-12
ScaTTerⓟⓡⓘⓜⓔ,arbalist,135,257366,200,2026-06-12
快乐'Dodge,lancer,142,348658,460,2026-06-12
BR4S4NINE,darkist,151,398445,930,2026-06-12
Maedú,arbalist,142,338646,620,2026-06-12
Limon5,lionheart,116,210160,180,2026-06-12
5horn4sph,arbalist,114,172386,555,2026-06-12
4lea4sph,darkist,112,168413,555,2026-06-12
4scale4sph,arbalist,118,183510,555,2026-06-12
passwordkey2,arbalist,114,159405,555,2026-06-12
4horn3sph,arbalist,105,150245,350,2026-06-12
3lea3sphe,arbalist,109,174100,350,2026-06-12
5lea4sph,arbalist,98,133344,500,2026-06-12
3sph3sca4st,taoist,124,213295,444,2026-06-12
97CD4Decks,sorcerer,151,401149,940,2026-06-12
5K7Eva620Sk,arbalist,163,471847,3390,2026-06-12
HOSP・NoMoreツ,taoist,151,403035,1750,2026-06-12
SAMSARAヅ,arbalist,151,402201,1530,2026-06-12
メFate,lancer,140,320369,400,2026-06-12
WeponT3Trad,warrior,151,431897,2250,2026-06-12
Blü£,warrior,118,226070,238,2026-06-12
Me to You,taoist,152,412887,1100,2026-06-12
5897evac7pet,darkist,148,433553,1500,2026-06-12
TaoCorte,taoist,148,431603,1500,2026-06-12
很可爱ヽTuesdày,sorcerer,154,444196,1600,2026-06-12
Frg2TRDmytPT,lancer,153,474314,7000,2026-06-12
Zoltan442,warrior,141,330880,399,2026-06-12
Shiva inu,darkist,105,173643,100,2026-06-12
2ez4Tacos,lancer,100,157074,100,2026-06-12
Nelix,sorcerer,105,184310,100,2026-06-12
Jaziel24,arbalist,144,343301,690,2026-06-12
ツAMETHYST ツ,sorcerer,152,390984,1000,2026-06-12
Cho や aeng,warrior,155,455611,2000,2026-06-12
Raiziiii,darkist,146,336550,500,2026-06-12
メTaylorG,lionheart,146,377184,700,2026-06-12
toptrd800sk,sorcerer,163,561096,13000,2026-06-12
S475 ヅ,arbalist,172,562156,14000,2026-06-12
饼干YAM,arbalist,131,283989,450,2026-06-12
Leanray04,darkist,134,284943,290,2026-06-12
ExecutorWar,warrior,115,211554,190,2026-06-12
Lime1001,lionheart,118,200981,150,2026-06-12
47kGold7Leg,taoist,141,321749,416,2026-06-12
Ⓡⓞⓡⓞⓝⓞⓐ ゾロ,lancer,141,345647,720,2026-06-12
Hiyenna,lancer,132,283475,281,2026-06-12
FW o之,darkist,145,360336,650,2026-06-12
bulsetit,arbalist,137,300234,330,2026-06-12
OldPOld,warrior,138,318667,300,2026-06-12
E1eazar978,darkist,120,214289,150,2026-06-12
Ⓕ・Ⓤ丨Punch,taoist,153,415605,1000,2026-06-12
自己发现吧,arbalist,154,427002,1400,2026-06-12
道士 ・ⓝⓐⓣⓔ・,taoist,150,418111,1000,2026-06-12
铁 玄枪,lancer,155,461011,3499,2026-06-12
20231016,arbalist,131,258835,200,2026-06-12
Aahya ジ,taoist,152,423197,1788,2026-06-12
EternalAdel,sorcerer,135,244354,190,2026-06-12
'Mia',taoist,133,241824,190,2026-06-12
ツ WHITE 毒,lancer,123,247167,230,2026-06-12
Kalampog,warrior,142,355005,430,2026-06-12
Bellah2Gun,sorcerer,154,418281,1079,2026-06-12
ⓃⓘⓒⓔⒼ,warrior,131,252085,200,2026-06-12
Derisdara,darkist,127,271296,280,2026-06-12
ScaTTerⓟⓡⓘⓜⓔ,arbalist,135,257366,200,2026-06-12
快乐'Dodge,lancer,142,348658,460,2026-06-12
BR4S4NINE,darkist,151,398445,930,2026-06-12
Maedú,arbalist,142,338646,620,2026-06-12
Limon5,lionheart,116,210160,180,2026-06-12
5horn4sph,arbalist,114,172386,555,2026-06-12
4lea4sph,darkist,112,168413,555,2026-06-12
4scale4sph,arbalist,118,183510,555,2026-06-12
passwordkey2,arbalist,114,159405,555,2026-06-12
4horn3sph,arbalist,105,150245,350,2026-06-12
3lea3sphe,arbalist,109,174100,350,2026-06-12
5lea4sph,arbalist,98,133344,500,2026-06-12
3sph3sca4st,taoist,124,213295,444,2026-06-12
97CD4Decks,sorcerer,151,401149,940,2026-06-12
5K7Eva620Sk,arbalist,163,471847,3390,2026-06-12
HOSP・NoMoreツ,taoist,151,403035,1750,2026-06-12
SAMSARAヅ,arbalist,151,402201,1530,2026-06-12
メFate,lancer,140,320369,400,2026-06-12
WeponT3Trad,warrior,151,431897,2250,2026-06-12
Blü£,warrior,118,226070,238,2026-06-12
Me to You,taoist,152,412887,1100,2026-06-12
5897evac7pet,darkist,148,433553,1500,2026-06-12
TaoCorte,taoist,148,431603,1500,2026-06-12
很可爱ヽTuesdày,sorcerer,154,444196,1600,2026-06-12
Frg2TRDmytPT,lancer,153,474314,7000,2026-06-12
Zoltan442,warrior,141,330880,399,2026-06-12
Shiva inu,darkist,105,173643,100,2026-06-12
2ez4Tacos,lancer,100,157074,100,2026-06-12
Nelix,sorcerer,105,184310,100,2026-06-12
Jaziel24,arbalist,144,343301,690,2026-06-12
ツAMETHYST ツ,sorcerer,152,390984,1000,2026-06-12
Cho や aeng,warrior,155,455611,2000,2026-06-12
Raiziiii,darkist,146,336550,500,2026-06-12
メTaylorG,lionheart,146,377184,700,2026-06-12
toptrd800sk,sorcerer,163,561096,13000,2026-06-12
S475 ヅ,arbalist,172,562156,14000,2026-06-12
饼干YAM,arbalist,131,283989,450,2026-06-12
Leanray04,darkist,134,284943,290,2026-06-12
ExecutorWar,warrior,115,211554,190,2026-06-12
Lime1001,lionheart,118,200981,150,2026-06-12
47kGold7Leg,taoist,141,321749,416,2026-06-12
Ⓡⓞⓡⓞⓝⓞⓐ ゾロ,lancer,141,345647,720,2026-06-12
Hiyenna,lancer,132,283475,281,2026-06-12
FW o之,darkist,145,360336,650,2026-06-12
bulsetit,arbalist,137,300234,330,2026-06-12
OldPOld,warrior,138,318667,300,2026-06-12
E1eazar978,darkist,120,214289,150,2026-06-12
Ⓕ・Ⓤ丨Punch,taoist,153,415605,1000,2026-06-12
自己发现吧,arbalist,154,427002,1400,2026-06-12
道士 ・ⓝⓐⓣⓔ・,taoist,150,418111,1000,2026-06-12
铁 玄枪,lancer,155,461011,3499,2026-06-12
20231016,arbalist,131,258835,200,2026-06-12
Aahya ジ,taoist,152,423197,1788,2026-06-12
EternalAdel,sorcerer,135,244354,190,2026-06-12
'Mia',taoist,133,241824,190,2026-06-12
ツ WHITE 毒,lancer,123,247167,230,2026-06-12
Kalampog,warrior,142,355005,430,2026-06-12
Bellah2Gun,sorcerer,154,418281,1079,2026-06-12
ⓃⓘⓒⓔⒼ,warrior,131,252085,200,2026-06-12
Derisdara,darkist,127,271296,280,2026-06-12
ScaTTerⓟⓡⓘⓜⓔ,arbalist,135,257366,200,2026-06-12
快乐'Dodge,lancer,142,348658,460,2026-06-12
BR4S4NINE,darkist,151,398445,930,2026-06-12
Maedú,arbalist,142,338646,620,2026-06-12
Limon5,lionheart,116,210160,180,2026-06-12
5horn4sph,arbalist,114,172386,555,2026-06-12
4lea4sph,darkist,112,168413,555,2026-06-12
4scale4sph,arbalist,118,183510,555,2026-06-12
passwordkey2,arbalist,114,159405,555,2026-06-12
4horn3sph,arbalist,105,150245,350,2026-06-12
3lea3sphe,arbalist,109,174100,350,2026-06-12
5lea4sph,arbalist,98,133344,500,2026-06-12
3sph3sca4st,taoist,124,213295,444,2026-06-12
97CD4Decks,sorcerer,151,401149,940,2026-06-12
5K7Eva620Sk,arbalist,163,471847,3390,2026-06-12
HOSP・NoMoreツ,taoist,151,403035,1750,2026-06-12
SAMSARAヅ,arbalist,151,402201,1530,2026-06-12
メFate,lancer,140,320369,400,2026-06-12
WeponT3Trad,warrior,151,431897,2250,2026-06-12
Blü£,warrior,118,226070,238,2026-06-12
Me to You,taoist,152,412887,1100,2026-06-12
5897evac7pet,darkist,148,433553,1500,2026-06-12
TaoCorte,taoist,148,431603,1500,2026-06-12
很可爱ヽTuesdày,sorcerer,154,444196,1600,2026-06-12
Frg2TRDmytPT,lancer,153,474314,7000,2026-06-12
Zoltan442,warrior,141,330880,399,2026-06-12
Shiva inu,darkist,105,173643,100,2026-06-12
2ez4Tacos,lancer,100,157074,100,2026-06-12
Nelix,sorcerer,105,184310,100,2026-06-12
Jaziel24,arbalist,144,343301,690,2026-06-12
ツAMETHYST ツ,sorcerer,152,390984,1000,2026-06-12
Cho や aeng,warrior,155,455611,2000,2026-06-12
Raiziiii,darkist,146,336550,500,2026-06-12
メTaylorG,lionheart,146,377184,700,2026-06-12
toptrd800sk,sorcerer,163,561096,13000,2026-06-12
S475 ヅ,arbalist,172,562156,14000,2026-06-12
饼干YAM,arbalist,131,283989,450,2026-06-12
Leanray04,darkist,134,284943,290,2026-06-12
ExecutorWar,warrior,115,211554,190,2026-06-12
Lime1001,lionheart,118,200981,150,2026-06-12
47kGold7Leg,taoist,141,321749,416,2026-06-12
Ⓡⓞⓡⓞⓝⓞⓐ ゾロ,lancer,141,345647,720,2026-06-12
BR4S4NINE,darkist,151,398445,930,2026-06-12
Maedú,arbalist,142,338646,620,2026-06-12
Limon5,lionheart,116,210160,180,2026-06-12
5horn4sph,arbalist,114,172386,555,2026-06-12
4lea4sph,darkist,112,168413,555,2026-06-12
4scale4sph,arbalist,118,183510,555,2026-06-12
passwordkey2,arbalist,114,159405,555,2026-06-12
4horn3sph,arbalist,105,150245,350,2026-06-12
3lea3sphe,arbalist,109,174100,350,2026-06-12
5lea4sph,arbalist,98,133344,500,2026-06-12
3sph3sca4st,taoist,124,213295,444,2026-06-12
97CD4Decks,sorcerer,151,401149,940,2026-06-12
5K7Eva620Sk,arbalist,163,471847,3390,2026-06-12
HOSP・NoMoreツ,taoist,151,403035,1750,2026-06-12
SAMSARAヅ,arbalist,151,402201,1530,2026-06-12
メFate,lancer,140,320369,400,2026-06-12
WeponT3Trad,warrior,151,431897,2250,2026-06-12
Blü£,warrior,118,226070,238,2026-06-12
Me to You,taoist,152,412887,1100,2026-06-12
5897evac7pet,darkist,148,433553,1500,2026-06-12
TaoCorte,taoist,148,431603,1500,2026-06-12
很可爱ヽTuesdày,sorcerer,154,444196,1600,2026-06-12
Frg2TRDmytPT,lancer,153,474314,7000,2026-06-12
Zoltan442,warrior,141,330880,399,2026-06-12
Shiva inu,darkist,105,173643,100,2026-06-12
2ez4Tacos,lancer,100,157074,100,2026-06-12
Nelix,sorcerer,105,184310,100,2026-06-12
Jaziel24,arbalist,144,343301,690,2026-06-12
ツAMETHYST ツ,sorcerer,152,390984,1000,2026-06-12
Cho や aeng,warrior,155,455611,2000,2026-06-12
